parent_name,smiles,role,similarity,chembl_id,doi,source_query
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cn2)cc1,analog,68.29268336296082,CHEMBL1865922,10.1038/nchembio.2070,chembl_similarity
Disulfiram,CCN(CCO)C(=S)SSC(=S)N(CC)CCO,analog,68.18181872367859,CHEMBL4858425,10.3390/molecules24142545,chembl_similarity
NCT-503,CC(=O)Nc1ccc(Cl)cc1,analog,67.7419364452362,CHEMBL15991,10.1038/nchembio.2070,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)NCC(=O)Nc2ccc(Cl)cc2)cc1,analog,67.5000011920929,CHEMBL3793965,10.1038/nchembio.2070,chembl_similarity
BI-4924,CCCNS(=O)(=O)c1ccc(C(=O)NCC2CCCO2)cc1,analog,67.27272868156433,CHEMBL1549405,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1ccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1,analog,67.21311211585999,CHEMBL1418324,10.1021/acs.jmedchem.0c00892,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,analog,66.66666865348816,CHEMBL493636,10.1038/nchembio.2070,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C#N)cc2)cc1,analog,66.66666865348816,CHEMBL4100318,10.1038/nchembio.2070,chembl_similarity
NCT-503,CNC(=S)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,analog,66.66666865348816,CHEMBL246556,10.1038/nchembio.2070,chembl_similarity
Disulfiram,CCN(CC)CC(=S)SSC(=S)N(CC)CC,analog,66.66666865348816,CHEMBL5417591,10.3390/molecules24142545,chembl_similarity
BI-4924,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,analog,66.12903475761414,CHEMBL1514939,10.1021/acs.jmedchem.0c00892,chembl_similarity
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)cc1,analog,65.85366129875183,CHEMBL1303775,10.1038/nchembio.2070,chembl_similarity
NCT-503,Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,analog,65.71428775787354,CHEMBL181809,10.1038/nchembio.2070,chembl_similarity
NCT-503,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,analog,65.71428775787354,CHEMBL180683,10.1038/nchembio.2070,chembl_similarity
NCT-503,CS(=O)(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,analog,65.71428775787354,CHEMBL228085,10.1038/nchembio.2070,chembl_similarity
NCT-503,O=S(=O)(Nc1ccc(O)cc1)c1ccc(Cl)cc1,analog,65.71428775787354,CHEMBL3314631,10.1038/nchembio.2070,chembl_similarity
NCT-503,Cc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2)cc1,analog,65.71428775787354,CHEMBL482650,10.1038/nchembio.2070,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1ccc(S(=O)(=O)Nc2ccccc2F)cc1,analog,65.51724076271057,CHEMBL1592052,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1ccc(NS(=O)(=O)c2cccs2)cc1,analog,65.51724076271057,CHEMBL1445764,10.1021/acs.jmedchem.0c00892,chembl_similarity
Disulfiram,CCCSSC(=S)N(CC)CC,analog,65.21739363670349,CHEMBL4229120,10.3390/molecules24142545,chembl_similarity
Disulfiram,CCN(CC)C(=S)SSC(C)C,analog,65.21739363670349,CHEMBL1097570,10.3390/molecules24142545,chembl_similarity
NCT-503,Cc1ccc(NC(=S)Nc2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)cc2)cc1,analog,64.99999761581421,CHEMBL393483,10.1038/nchembio.2070,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)cc1,analog,64.99999761581421,CHEMBL259841,10.1038/nchembio.2070,chembl_similarity
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2cc(Cl)ccc2Cl)cc1,analog,64.99999761581421,CHEMBL2134402,10.1038/nchembio.2070,chembl_similarity
NCT-503,Cc1ccc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccc(Cl)cc3)cc2)cc1,analog,64.99999761581421,CHEMBL2234397,10.1038/nchembio.2070,chembl_similarity
Disulfiram,CCN(CC)C(=S)SC,analog,64.99999761581421,CHEMBL1745,10.3390/molecules24142545,chembl_similarity
BI-4924,CCCCS(=O)(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,analog,64.91228342056274,CHEMBL1561025,10.1021/acs.jmedchem.0c00892,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccc2NS(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,analog,64.86486196517944,CHEMBL4063466,10.1038/nchembio.2070,chembl_similarity
NCT-503,O=C(O)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,analog,64.86486196517944,CHEMBL491747,10.1038/nchembio.2070,chembl_similarity
